X	Y	Z	X	Y	Z	X	Y	Z
0.192871	-0.0249023	-1.02002	-0.00585938	-0.00457764	0.00708008	-3150.29	2925	449.707
0.19043	-0.0324707	-1.0105	-0.00506592	-0.0065918	0.00915527	-3675.29	3000	374.707
0.190918	-0.0253906	-1.01685	-0.00531006	-0.00683594	0.00842285	-3600.29	3225	149.707
0.199951	-0.0292969	-1.01343	-0.00445557	-0.00561523	0.00775146	-3750.29	2775	899.707
0.200439	-0.0305176	-1.01147	-0.00421143	-0.00421143	0.0088501	-3525.29	3000	524.707
0.186768	-0.0288086	-1.00781	-0.00402832	-0.00415039	0.00653076	-3600.29	2625	-150.586
0.193115	-0.0324707	-1.01416	-0.00457764	-0.00683594	0.00811768	-3600.29	2775	149.707
0.202393	-0.0222168	-1.00464	-0.00482178	-0.00512695	0.00769043	-3750.29	3075	299.707
0.191895	-0.0341797	-1.0061	-0.0055542	-0.00732422	0.00634766	-3750.29	2775	449.707
0.186768	-0.0249023	-1.0105	-0.00537109	-0.00476074	0.00866699	-3450.29	2925	149.707
0.20166	-0.0297852	-1.01245	-0.00335693	-0.00665283	0.00671387	-3525.29	3000	224.707
0.194336	-0.0266113	-1.01465	-0.0045166	-0.00445557	0.00665283	-3375.29	3000	224.707
0.188721	-0.0266113	-1.00488	-0.00518799	-0.00665283	0.0067749	-3300.29	2925	449.707
0.193604	-0.0292969	-1.01514	-0.0045166	-0.00439453	0.00854492	-3600.29	2775	449.707
0.195068	-0.0280762	-1.00757	-0.00439453	-0.00579834	0.00665283	-3450.29	3075	-0.585938
0.194092	-0.0358887	-1.00928	-0.00531006	-0.00622559	0.00848389	-3300.29	2475	599.707
0.186523	-0.03125	-1.00684	-0.00457764	-0.00415039	0.00897217	-3300.29	3225	599.707
0.193359	-0.0253906	-1.00903	-0.00512695	-0.00518799	0.00787354	-3525.29	3300	524.707
0.198242	-0.0327148	-1.01367	-0.0065918	-0.00616455	0.00738525	-3225.29	2700	524.707
0.191406	-0.0310059	-1.00781	-0.0032959	-0.00500488	0.00830078	-3375.29	3150	674.707
0.188477	-0.027832	-1.01685	-0.00500488	-0.00592041	0.00750732	-3600.29	3225	149.707
0.200928	-0.0327148	-1.01221	-0.00415039	-0.00524902	0.00732422	-3675.29	3000	674.707
0.199219	-0.0319824	-1.0127	-0.00402832	-0.00579834	0.00592041	-3675.29	3300	374.707
0.188232	-0.0266113	-1.01367	-0.00488281	-0.00616455	0.00769043	-3450.29	3075	149.707
0.186523	-0.0334473	-1.01953	-0.00579834	-0.00488281	0.00585938	-3600.29	2925	149.707
0.195801	-0.0307617	-1.00952	-0.00445557	-0.00567627	0.00683594	-3375.29	3000	74.707
0.19458	-0.032959	-1.01025	-0.0055542	-0.00567627	0.00714111	-3450.29	2925	449.707
0.188965	-0.0256348	-1.01758	-0.00469971	-0.00726318	0.00811768	-3750.29	3075	449.707
0.190186	-0.0244141	-1.01587	-0.00476074	-0.00665283	0.00860596	-3375.29	3000	374.707
0.19751	-0.0310059	-1.02344	-0.00585938	-0.00750732	0.0065918	-3675.29	3000	374.707
0.186523	-0.0317383	-1.01367	-0.00512695	-0.00421143	0.00720215	-3975.29	3450	224.707
0.193359	-0.0336914	-1.00708	-0.00512695	-0.00543213	0.00720215	-3450.29	3225	599.707
0.193848	-0.0251465	-1.01563	-0.00488281	-0.00665283	0.00714111	-3450.29	2775	149.707
0.193604	-0.0270996	-1.01245	-0.00439453	-0.00567627	0.00769043	-3975.29	2850	374.707
0.186523	-0.0339355	-1.01538	-0.00408936	-0.00500488	0.00744629	-3375.29	3000	524.707
0.194092	-0.027832	-1.01123	-0.00390625	-0.00671387	0.0078125	-3525.29	3000	374.707
0.226074	-0.0175781	-1.00244	-0.0109863	0.0393066	0.0065918	-3675.29	3000	74.707
0.189697	-0.0297852	-1.0127	-0.00476074	0.0188599	0.00866699	-3450.29	3075	449.707
0.200684	-0.0344238	-1.00049	-0.00543213	-0.0206299	0.00720215	-3675.29	2850	224.707
0.187012	-0.0263672	-1.02197	-0.0032959	0.0022583	0.00616455	-3375.29	2850	74.707
0.206055	-0.0324707	-1.00293	-0.00439453	-0.0151367	0.00805664	-3675.29	2700	374.707
0.192139	-0.0275879	-1.01978	-0.00146484	-0.00817871	0.00811768	-3525.29	3000	524.707
